timestamp,value
19/02/2020 11:30:30,u45534184
19/02/2020 11:30:35,u45534184
19/02/2020 11:30:40,u45534184
19/02/2020 11:30:45,u48065512
19/02/2020 11:30:50,u48065512
19/02/2020 11:30:55,u48065512
19/02/2020 11:31:00,u48065512
19/02/2020 11:31:05,u48065512
19/02/2020 11:31:10,u48065512
19/02/2020 11:31:15,u45505392
19/02/2020 11:31:20,u45505392
19/02/2020 11:31:25,u45505392
19/02/2020 11:31:30,u45505392
19/02/2020 11:31:35,u45505392
19/02/2020 11:31:40,u45505392
19/02/2020 11:31:45,u48044912
19/02/2020 11:31:50,u48044912
19/02/2020 11:31:55,u48044912
19/02/2020 11:32:00,u48044912
19/02/2020 11:32:05,u48044912
19/02/2020 11:32:10,u48044912
19/02/2020 11:32:15,u45599600
19/02/2020 11:32:20,u45599600
19/02/2020 11:32:25,u45599600
19/02/2020 11:32:30,u45599600
19/02/2020 11:32:35,u45599600
19/02/2020 11:32:40,u45599600
19/02/2020 11:32:45,u48089968
19/02/2020 11:32:50,u48089968
19/02/2020 11:32:55,u48089968
19/02/2020 11:33:00,u48089968
19/02/2020 11:33:05,u48089968
19/02/2020 11:33:10,u48089968
19/02/2020 11:33:15,u45648752
19/02/2020 11:33:20,u45648752
19/02/2020 11:33:25,u45648752
19/02/2020 11:33:30,u45648752
19/02/2020 11:33:35,u45648752
19/02/2020 11:33:40,u45648752
19/02/2020 11:33:45,u48192352
19/02/2020 11:33:50,u48192352
19/02/2020 11:33:55,u48192352
19/02/2020 11:34:00,u48192352
19/02/2020 11:34:05,u48192352
19/02/2020 11:34:10,u48192352
19/02/2020 11:34:15,u45727104
19/02/2020 11:34:20,u45727104
19/02/2020 11:34:25,u45727104
19/02/2020 11:34:30,u45727104
19/02/2020 11:34:35,u45727104
19/02/2020 11:34:40,u45727104
19/02/2020 11:34:45,u48205192
19/02/2020 11:34:50,u48205192
19/02/2020 11:34:55,u48205192
19/02/2020 11:35:00,u48205192
19/02/2020 11:35:05,u48205192
19/02/2020 11:35:10,u48205192
19/02/2020 11:35:15,u45870208
19/02/2020 11:35:20,u45870208
19/02/2020 11:35:25,u45870208
19/02/2020 11:35:30,u45870208
19/02/2020 11:35:35,u45870208
19/02/2020 11:35:40,u45870208
19/02/2020 11:35:45,u48315488
19/02/2020 11:35:50,u48315488
19/02/2020 11:35:55,u48315488
19/02/2020 11:36:00,u48315488
19/02/2020 11:36:05,u48315488
19/02/2020 11:36:10,u48315488
19/02/2020 11:36:15,u45866104
19/02/2020 11:36:20,u45866104
19/02/2020 11:36:25,u45866104
19/02/2020 11:36:30,u45866104
19/02/2020 11:36:35,u45866104
19/02/2020 11:36:40,u45866104
19/02/2020 11:36:45,u48319608
19/02/2020 11:36:50,u48319608
19/02/2020 11:36:55,u48319608
19/02/2020 11:37:00,u48319608
19/02/2020 11:37:05,u48319608
19/02/2020 11:37:10,u48319608
19/02/2020 11:37:15,u45964432
19/02/2020 11:37:20,u45964432
19/02/2020 11:37:25,u45964432
19/02/2020 11:37:30,u45964432
19/02/2020 11:37:35,u45964432
19/02/2020 11:37:40,u45964432
19/02/2020 11:37:45,u48512096
19/02/2020 11:37:50,u48512096
19/02/2020 11:37:55,u48512096
19/02/2020 11:38:00,u48512096
19/02/2020 11:38:05,u48512096
19/02/2020 11:38:10,u48512096
19/02/2020 11:38:15,u46054520
19/02/2020 11:38:20,u46054520
19/02/2020 11:38:25,u46054520
19/02/2020 11:38:30,u46054520
19/02/2020 11:38:35,u46054520
19/02/2020 11:38:40,u46054520
19/02/2020 11:38:45,u48557176
19/02/2020 11:38:50,u48557176
19/02/2020 11:38:55,u48557176
19/02/2020 11:39:00,u48557176
19/02/2020 11:39:05,u48557176
19/02/2020 11:39:10,u48557176
19/02/2020 11:39:15,u46148744
19/02/2020 11:39:20,u46148744
19/02/2020 11:39:25,u46148744
19/02/2020 11:39:30,u46148744
19/02/2020 11:39:35,u46148744
19/02/2020 11:39:40,u46148744
19/02/2020 11:39:45,u48598112
19/02/2020 11:39:50,u48598112
19/02/2020 11:39:55,u48598112
19/02/2020 11:40:00,u48598112
19/02/2020 11:40:05,u48598112
19/02/2020 11:40:10,u48598112
19/02/2020 11:40:15,u46230968
19/02/2020 11:40:20,u46230968
19/02/2020 11:40:25,u46230968
19/02/2020 11:40:30,u46230968
19/02/2020 11:40:35,u46230968
19/02/2020 11:40:40,u46230968
19/02/2020 11:40:45,u48790968
19/02/2020 11:40:50,u48790968
19/02/2020 11:40:55,u48790968
19/02/2020 11:41:00,u48790968
19/02/2020 11:41:05,u48790968
19/02/2020 11:41:10,u48790968
19/02/2020 11:41:15,u43759600
19/02/2020 11:41:20,u43759600
19/02/2020 11:41:25,u43759600
19/02/2020 11:41:30,u43759600
19/02/2020 11:41:35,u43759600
19/02/2020 11:41:40,u43759600
19/02/2020 11:41:45,u46331888
19/02/2020 11:41:50,u46331888
19/02/2020 11:41:55,u46331888
19/02/2020 11:42:00,u46331888
19/02/2020 11:42:05,u46331888
19/02/2020 11:42:10,u46331888
19/02/2020 11:42:15,u43838712
19/02/2020 11:42:20,u43838712
19/02/2020 11:42:25,u43838712
19/02/2020 11:42:30,u43838712
19/02/2020 11:42:35,u43838712
19/02/2020 11:42:40,u43838712
19/02/2020 11:42:45,u46427384
19/02/2020 11:42:50,u46427384
19/02/2020 11:42:55,u46427384
19/02/2020 11:43:00,u46427384
19/02/2020 11:43:05,u46427384
19/02/2020 11:43:10,u46427384
19/02/2020 11:43:15,u44076424
19/02/2020 11:43:20,u44076424
19/02/2020 11:43:25,u44076424
19/02/2020 11:43:30,u44076424
19/02/2020 11:43:35,u44076424
19/02/2020 11:43:40,u44076424
19/02/2020 11:43:45,u46607752
19/02/2020 11:43:50,u46607752
19/02/2020 11:43:55,u46607752
19/02/2020 11:44:00,u46607752
19/02/2020 11:44:05,u46607752
19/02/2020 11:44:10,u46607752
19/02/2020 11:44:15,u44203368
19/02/2020 11:44:20,u44203368
19/02/2020 11:44:25,u44203368
19/02/2020 11:44:30,u44203368
19/02/2020 11:44:35,u44203368
19/02/2020 11:44:40,u44203368
19/02/2020 11:44:45,u46648680
19/02/2020 11:44:50,u46648680
19/02/2020 11:44:55,u46648680
19/02/2020 11:45:00,u46648680
19/02/2020 11:45:05,u46648680
19/02/2020 11:45:10,u46648680
19/02/2020 11:45:15,u44375544
19/02/2020 11:45:20,u44375544
19/02/2020 11:45:25,u44375544
19/02/2020 11:45:30,u44375544
19/02/2020 11:45:35,u44375544
19/02/2020 11:45:40,u44375544
19/02/2020 11:45:45,u46992888
19/02/2020 11:45:50,u46992888
19/02/2020 11:45:55,u46992888
19/02/2020 11:46:00,u46992888
19/02/2020 11:46:05,u46992888
19/02/2020 11:46:10,u46992888
19/02/2020 11:46:15,u44477968
19/02/2020 11:46:20,u44477968
19/02/2020 11:46:25,u44477968
19/02/2020 11:46:30,u44477968
19/02/2020 11:46:35,u44477968
19/02/2020 11:46:40,u44477968
19/02/2020 11:46:45,u47087120
19/02/2020 11:46:50,u47087120
19/02/2020 11:46:55,u47087120
19/02/2020 11:47:00,u47087120
19/02/2020 11:47:05,u47087120
19/02/2020 11:47:10,u47087120
19/02/2020 11:47:15,u45485432
19/02/2020 11:47:20,u45485432
19/02/2020 11:47:25,u45485432
19/02/2020 11:47:30,u45485432
19/02/2020 11:47:35,u45485432
19/02/2020 11:47:40,u45485432
19/02/2020 11:47:45,u47934840
19/02/2020 11:47:50,u47934840
19/02/2020 11:47:55,u47934840
19/02/2020 11:48:00,u47934840
19/02/2020 11:48:05,u47934840
19/02/2020 11:48:10,u47934840
19/02/2020 11:48:15,u45618624
19/02/2020 11:48:20,u45618624
19/02/2020 11:48:25,u45618624
19/02/2020 11:48:30,u45618624
19/02/2020 11:48:35,u45618624
19/02/2020 11:48:40,u45618624
19/02/2020 11:48:45,u43157472
19/02/2020 11:48:50,u43157472
